Month,Category,Reported decisions,Fully automated %,Partially automated %,Non-automated %,Days present,Days expected,Coverage gap
2024-01,Illegal or harmful speech,29398094,98.5084679299277,0.0,1.4915320700722978,31,31,False
2024-01,Risk for public security,708,0.0,0.0,100.0,31,31,False
2024-01,Protection of minors,1599902,20.08641779308983,0.0,79.91358220691018,31,31,False
2024-02,Illegal or harmful speech,27029152,98.68668095839632,0.0,1.3133190416036729,29,29,False
2024-02,Risk for public security,544,0.0,0.0,100.0,29,29,False
2024-02,Protection of minors,1642570,18.818132560560585,0.0,81.18186743943942,29,29,False
2024-03,Illegal or harmful speech,31990729,98.57769105543046,0.0,1.4223089445695345,31,31,False
2024-03,Risk for public security,449,0.0,0.0,100.0,31,31,False
2024-03,Protection of minors,10618869,81.75752992150106,0.0,18.242470078498943,31,31,False
2024-04,Illegal or harmful speech,28236430,98.67625971130202,0.0,1.3237402886979694,30,30,False
2024-04,Risk for public security,513,0.0,0.0,100.0,30,30,False
2024-04,Protection of minors,10840655,88.0352617069725,0.0,11.964738293027496,30,30,False
2024-05,Illegal or harmful speech,33453796,98.80006143398495,0.0,1.1999385660150494,31,31,False
2024-05,Risk for public security,498,0.0,0.0,100.0,31,31,False
2024-05,Protection of minors,3069454,64.79256571364158,0.0,35.20743428635842,31,31,False
2024-06,Illegal or harmful speech,37943119,98.77346403704978,0.0,1.2265359629502255,25,30,True
2024-06,Risk for public security,291,0.0,0.0,100.0,25,30,True
2024-06,Protection of minors,1598532,40.612637094534236,0.0,59.38736290546577,25,30,True
2024-07,Illegal or harmful speech,40406363,98.5826959976576,0.0,1.4173040023424033,31,31,False
2024-07,Risk for public security,396,0.0,0.0,100.0,31,31,False
2024-07,Protection of minors,1900389,43.858073268157206,0.0,56.141926731842794,31,31,False
2024-08,Illegal or harmful speech,39153026,98.61143810442647,0.0,1.3885618955735375,31,31,False
2024-08,Risk for public security,480,0.0,0.0,100.0,31,31,False
2024-08,Protection of minors,1879541,44.22904315468511,0.0,55.77095684531489,31,31,False
2024-09,Illegal or harmful speech,35729899,98.51011613550881,0.0,1.4898838644911927,30,30,False
2024-09,Risk for public security,316,0.0,0.0,100.0,30,30,False
2024-09,Protection of minors,1443879,43.02015612111541,0.0,56.97984387888459,30,30,False
2024-10,Illegal or harmful speech,35668032,98.72142931799546,0.0,1.2785706820045468,31,31,False
2024-10,Risk for public security,406,0.0,0.0,100.0,31,31,False
2024-10,Protection of minors,2831176,21.40393250013422,0.0,78.59606749986578,31,31,False
