Year,Month,Category,Method,Count
2024,2024-01,All categories,Fully automated,64073685
2024,2024-01,All categories,Partially automated,0
2024,2024-01,All categories,Non-automated,5159577
2024,2024-02,All categories,Fully automated,58072494
2024,2024-02,All categories,Partially automated,0
2024,2024-02,All categories,Non-automated,4643624
2024,2024-03,All categories,Fully automated,74380634
2024,2024-03,All categories,Partially automated,1
2024,2024-03,All categories,Non-automated,5934917
2024,2024-04,All categories,Fully automated,65983179
2024,2024-04,All categories,Partially automated,0
2024,2024-04,All categories,Non-automated,4542673
2024,2024-05,All categories,Fully automated,86420439
2024,2024-05,All categories,Partially automated,0
2024,2024-05,All categories,Non-automated,4512140
2025,2025-01,All categories,Fully automated,104951067
2025,2025-01,All categories,Partially automated,0
2025,2025-01,All categories,Non-automated,5187349
2025,2025-02,All categories,Fully automated,147787882
2025,2025-02,All categories,Partially automated,0
2025,2025-02,All categories,Non-automated,6927264
2025,2025-03,All categories,Fully automated,193621113
2025,2025-03,All categories,Partially automated,0
2025,2025-03,All categories,Non-automated,8310817
2025,2025-04,All categories,Fully automated,177159190
2025,2025-04,All categories,Partially automated,0
2025,2025-04,All categories,Non-automated,9150506
2025,2025-05,All categories,Fully automated,99095230
2025,2025-05,All categories,Partially automated,0
2025,2025-05,All categories,Non-automated,3720387
2026,2026-01,All categories,Fully automated,111178939
2026,2026-01,All categories,Partially automated,2240
2026,2026-01,All categories,Non-automated,9387227
2026,2026-02,All categories,Fully automated,71363957
2026,2026-02,All categories,Partially automated,0
2026,2026-02,All categories,Non-automated,6591694
2026,2026-03,All categories,Fully automated,38148584
2026,2026-03,All categories,Partially automated,0
2026,2026-03,All categories,Non-automated,3023851
2026,2026-04,All categories,Fully automated,37259008
2026,2026-04,All categories,Partially automated,0
2026,2026-04,All categories,Non-automated,2402440
2026,2026-05,All categories,Fully automated,35349187
2026,2026-05,All categories,Partially automated,0
2026,2026-05,All categories,Non-automated,2377844
2024,2024-01,Illegal or harmful speech,Fully automated,28959612
2024,2024-01,Illegal or harmful speech,Partially automated,0
2024,2024-01,Illegal or harmful speech,Non-automated,438482
