Month,automated_decision,count,Action
2024-02,AUTOMATED_DECISION_FULLY,308946,Removal
2024-02,AUTOMATED_DECISION_NOT_AUTOMATED,82593,Removal
2024-03,AUTOMATED_DECISION_FULLY,368244,Removal
2024-03,AUTOMATED_DECISION_NOT_AUTOMATED,82812,Removal
2024-02,AUTOMATED_DECISION_NOT_AUTOMATED,190,Access disabled
2024-03,AUTOMATED_DECISION_NOT_AUTOMATED,646,Access disabled
2024-02,AUTOMATED_DECISION_FULLY,149,Age restriction
2024-02,AUTOMATED_DECISION_NOT_AUTOMATED,1029636,Age restriction
2024-03,AUTOMATED_DECISION_FULLY,1288,Age restriction
2024-03,AUTOMATED_DECISION_NOT_AUTOMATED,1449531,Age restriction
2024-02,AUTOMATED_DECISION_FULLY,155,Other visibility action
2024-02,AUTOMATED_DECISION_NOT_AUTOMATED,125050,Other visibility action
2024-03,AUTOMATED_DECISION_FULLY,8312486,Other visibility action
2024-03,AUTOMATED_DECISION_NOT_AUTOMATED,298752,Other visibility action
